"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SDCBP2-AS1",330.002037391946,0.0788338588367051,0.0605970996147697,1.30095102468387,0.193275219107307,0.355502661522745
"CDC20-DT",7.40061360662936,0.130646422043609,0.263908786753029,0.495043850759961,0.620569167279346,0.758195393893717
"HMGA1P4",12.7755206664834,0.494775641557159,0.233606841571657,2.11798438020228,0.0341763905531632,0.0994834940789082
"UPF3AP3",35.1946527696219,-0.0673444982899594,0.144339410163541,-0.466570413538866,0.640807258897603,0.773684305192179
"NPIPB2",19.3421774375838,0.397617163849282,0.218292696765739,1.82148633344333,0.0685329622615458,0.166474372885957
"LINC02092",8.75724969001684,-1.35239210301134,0.327217865900691,-4.13300202691802,3.58055567433278e-05,0.000467420839390789
"FAM170B-AS1",7.05144226284833,-0.292444529608177,0.291242009878115,-1.00412893638031,0.315316469541218,0.496112849179774
"KRT18P15",26.9718354531354,0.366047634803871,0.311227943418583,1.17614000459965,0.23953893416082,0.411618728143822
"GAS5",978.557427846835,-0.117713693026158,0.0846038720419507,-1.39135113068808,0.164118976004929,0.315891990926238
"RPL17P18",60.9412338468073,-0.179125121051387,0.102548681521177,-1.74673256051952,0.0806837395758974,0.187846037301968
"EIF5AP4",23.5600553592412,0.330261712467552,0.163983391240816,2.01399489282759,0.0440100696949634,0.119837280943079
"HLA-B",27604.146109077,0.0958883843277947,0.121689726151299,0.787974362014547,0.43071170245838,0.603017332454498
"RPL15P16",27.5247017687525,0.309957664597101,0.167640274448384,1.84894510353797,0.0644657399808812,0.159137113404266
"LINC02676",12.5248232675956,0.413725559781654,0.305727596548411,1.35324898521597,0.175976100783605,0.331971626840735
"FOXP4-AS1",14.6423998396731,0.104903722548782,0.181065477155535,0.579368989587506,0.562340223757928,0.713524101888277
"WASH4P",22.8564316658043,0.117651878293462,0.19809050046768,0.593929936143797,0.552558975508585,0.705770042044023
"GULOP",15.254361167018,-0.562998973750955,0.234094229186557,-2.40501004961674,0.0161720210513202,0.0561957598867967
"SLC25A25-AS1",300.799644133935,-0.121849003461524,0.0965223927032011,-1.26239103744765,0.206808112650187,0.371422338021254
"LINC00412",8.25299460810466,0.540941187636411,0.257444560974944,2.10119485759522,0.035623864641808,0.102710198443916
"FREY1",24.7810533580188,-0.170052046775668,0.151185935564916,-1.12478747537102,0.260679103050858,0.436776816235166
"BNC2-AS1",7.20682603463755,-0.641785544578666,0.354267962663532,-1.81158222649731,0.0700507732624155,0.169121029535945
"HSPA8P3",20.4858317772832,0.0243603503416904,0.146866461135112,0.165867347476152,0.868261344439358,0.923909349833627
"RPS3AP6",77.507866824761,0.0726153052440518,0.142522833372801,0.50949945019764,0.610402183605885,0.750528618430962
"MORF4",3.21817050634968,0.384398916957376,0.349991776152921,1.09830842650835,0.272069833605264,0.449837621929604
"RPL26P29",2.63859889905556,0.423291661335187,0.422515242332684,1.00183761181778,0.31642202842749,0.497037276304792
"JUN-DT",14.9681336710506,-0.187597712411877,0.223599638945209,-0.838989335120733,0.401475294318427,0.575772129137743
"SVIL2P",25.7074244818773,-0.119262172881685,0.187942748856716,-0.634566502869488,0.525711180780724,0.685469513109026
"H2AC5P",4.43616096280758,0.392310580488557,0.394827534619512,0.993625180844137,0.320405380299431,0.50045683073653
"ECI2-DT",7.89783394134963,-0.589282323628604,0.241956342763386,-2.43549029092771,0.0148716236978684,0.0527516559634187
"NXT1-AS1",15.4040058879259,-0.241648329721564,0.229817345666828,-1.05147994386763,0.293038216067811,0.472191172039015
"PHB1P13",3.87065299185519,0.0315557556112611,0.391056464623432,0.0806936042897224,0.935685623268137,0.962993007044409
"RPL23AP42",18.9756377469378,-0.494831058340129,0.216219053100744,-2.28856361751603,0.0221047198323021,0.0714224061033048
"LINC00676",11.7175509058527,0.420305494716103,0.414516125946171,1.01396657067736,0.310598703923745,0.490836326788087
"ADH5P5",1.22414346088918,-1.68010307009533,0.917350009250542,-1.83147441342257,0.067029763327191,0.163790470065636
"LINC00163",4.22529933065717,-0.86186616624166,0.323901894665719,-2.66088646110312,0.00779352324354608,0.0320923488894375
"PIGFP2",32.1559038996551,0.228721301632215,0.171679117441318,1.33226046965435,0.1827746121172,0.341259678255747
"EIF3EP1",19.3350152608829,-0.407148828308441,0.200981429618964,-2.02580322510565,0.0427849533134355,0.117383995918391
"MIR155HG",44.9744276933511,-0.449159205098259,0.204967006242808,-2.1913732035788,0.0284247965953326,0.0868124954903608
"GRK3-AS1",3.73071156193522,0.512434551427766,0.386456699905316,1.32598180223895,0.184845725176228,0.344045546175044
"MTND5P26",11.2335638506168,-0.243235845060483,0.277458672267456,-0.876656127100672,0.380673443398007,0.558135164257946
"OR52X1P",2.24138343010272,2.6427519841997,0.667816199449273,3.95730439959242,7.58003115057161e-05,0.000841624673748134
"TEX21P",53.0796178603605,-0.141542819413295,0.194707036248091,-0.726952770381367,0.467254888737185,0.635067933190057
"SNHG20",150.921812040477,0.273705828546734,0.121574730045024,2.25133815592575,0.0243641278794416,0.0770365421952192
"ATP5PDP4",248.064050195727,0.0521903485063577,0.133967024590518,0.389576081620699,0.696850041553941,0.812756420021482
"CDC42P1",14.7480328511663,-0.03173304513088,0.180001417239463,-0.176293307116934,0.860063519835508,0.919136009595883
